Num_Links,Buy_Now,Capital_Letters,Spam
6,1,26,0
3,0,1,0
7,0,89,1
4,1,16,0
6,1,32,0
9,0,8,0
2,0,42,0
6,1,47,0
7,0,38,0
4,1,92,1
3,1,41,0
7,0,25,0
7,0,98,1
2,1,49,0
5,1,24,0
4,0,23,0
1,1,12,0
7,0,59,1
5,1,6,0
1,0,56,0
4,0,35,0
0,0,44,0
9,1,19,0
5,1,64,1
8,0,7,0
0,1,15,0
9,0,13,0
2,0,75,0
6,1,86,1
3,1,14,0
8,0,91,1
2,1,97,1
4,1,65,1
2,0,31,0
6,0,86,1
4,1,62,0
8,0,85,1
6,0,50,0
1,1,24,0
3,0,57,0
8,0,62,1
1,1,61,0
9,1,21,0
8,0,57,1
9,0,57,1
4,1,85,1
1,1,48,0
3,1,51,0
6,1,41,0
7,0,69,1
2,1,14,0
0,1,53,0
3,0,59,0
1,1,96,1
7,0,7,0
3,1,52,0
1,1,59,0
5,1,4,0
5,0,67,0
9,0,5,0
3,1,95,1
5,0,93,1
1,0,46,0
9,0,98,1
1,0,54,0
9,0,39,0
3,0,51,0
7,1,15,0
6,1,12,0
8,0,29,0
7,1,18,0
4,1,16,0
1,1,62,0
4,1,18,0
7,0,91,1
9,1,57,1
8,1,54,1
8,0,89,1
0,0,89,0
8,1,61,1
6,1,22,0
8,1,8,0
7,1,11,0
0,1,0,0
7,1,57,1
7,0,0,0
2,1,33,0
0,1,95,1
7,0,47,0
2,0,88,0
2,0,0,0
0,0,15,0
4,1,60,0
9,1,63,1
6,1,62,1
9,1,68,1
8,1,21,0
6,1,92,1
8,0,66,1
7,1,75,1
1,0,25,0
0,0,15,0
6,1,50,1
6,0,85,1
7,1,56,1
4,0,28,0
2,1,77,0
7,0,91,1
5,1,68,1
2,1,46,0
0,1,93,1
2,1,61,0
4,1,68,1
2,0,75,0
0,0,15,0
4,0,89,1
9,1,89,1
6,0,47,0
6,1,84,1
8,1,38,1
9,0,99,1
9,0,32,0
2,1,93,1
6,0,22,0
0,1,9,0
3,1,68,0
3,1,99,1
4,1,33,0
6,1,51,1
6,0,94,1
3,0,9,0
6,1,18,0
2,1,57,0
5,0,95,1
1,0,0,0
9,1,68,1
8,0,3,0
4,1,15,0
5,0,23,0
3,1,79,1
9,0,1,0
6,1,91,1
8,0,31,0
6,0,90,1
0,1,83,0
0,0,23,0
8,1,11,0
8,0,49,1
3,1,34,0
8,0,32,0
2,1,32,0
6,0,60,0
5,1,50,0
7,0,42,0
8,1,11,0
4,1,66,1
0,1,64,0
2,0,32,0
9,1,39,1
7,0,73,1
5,1,42,0
7,0,43,0
8,1,28,0
3,0,12,0
0,0,11,0
0,1,94,1
9,0,45,1
3,0,1,0
6,1,34,0
1,0,86,0
2,0,80,0
0,0,89,0
4,1,7,0
0,0,92,0
7,1,25,0
0,0,73,0
0,0,89,0
1,0,33,0
1,1,6,0
5,0,67,0
6,0,57,0
4,1,74,1
0,0,28,0
0,1,35,0
2,1,88,1
1,0,20,0
4,1,35,0
9,0,9,0
5,1,72,1
6,1,23,0
3,0,63,0
6,1,98,1
7,1,48,1
0,1,98,1
5,1,35,0
7,1,81,1
4,0,95,1
3,1,23,0
1,0,22,0
5,1,61,1
